abandon,放弃
ability,能力
abroad,在国外
absent,缺席的
absolute,绝对的
absorb,吸收
abstract,抽象的
abundant,丰富的
academic,学术的
accept,接受
access,进入；使用权
accident,事故；意外
accompany,陪伴；伴随
accomplish,完成；实现
account,账户；解释
accurate,准确的
achieve,实现；达到
acknowledge,承认
acquire,获得；习得
adapt,适应；改编
addition,增加；附加
adequate,足够的
adjust,调整；适应
administration,管理；行政
admire,钦佩；欣赏
admit,承认；允许进入
adopt,采用；收养
advance,前进；进步
advantage,优点；优势
adventure,冒险
advertise,做广告
advice,建议
affect,影响
afford,负担得起
agency,机构；代理处
aggressive,好斗的；有进取心的
aid,帮助；援助
aim,目标；瞄准
alert,警觉的
alive,活着的
allow,允许
alter,改变
amaze,使惊奇
ambition,雄心；抱负
amount,数量；总额
analyse,分析
ancient,古代的
anger,愤怒
announce,宣布
annual,每年的
anxious,焦虑的；渴望的
apparent,明显的
appeal,呼吁；吸引力
appoint,任命；指定
appreciate,感激；欣赏
approach,接近；方法
appropriate,合适的
approve,赞成；批准
argue,争论
arise,出现；发生
arrange,安排
artificial,人工的
aspect,方面
assess,评估
assign,分配；布置
assist,帮助；协助
assume,假设；承担
attach,附上；贴上
attempt,尝试
attend,参加；出席
attitude,态度
attract,吸引
audience,观众；听众
authority,权威；官方
available,可获得的；有空的
average,平均的；平均数
avoid,避免
award,奖项；授予
aware,意识到的
awful,糟糕的；可怕的
background,背景
balance,平衡
barrier,障碍
basic,基本的
battle,战斗
benefit,益处；受益
besides,此外
blame,责备
borrow,借入
brief,简短的
broadcast,广播
budget,预算
burden,负担
campus,校园
candidate,候选人
capable,有能力的
capture,捕获；吸引
career,职业；事业
cautious,谨慎的
celebrate,庆祝
challenge,挑战
character,性格；角色
